UNIT_NO,DIVISION,YEAR,MAKE,MODEL,CATEGORY,CATEGORY_DESC,CATEGORY_CLASS,CATEGORY_GROUP,CATEGORY_GROUP_DESC,UNIT_TYPE,FUEL_PRODUCT,AGE,EXPECTED_LIFE(YR),IN_SERVICE_DATE,CURRENT_STATUS_DESCRIPTION,HIGH_PRIORITY,OWNING_COST_CENTER,USING_COST_CENTER,MAINTENENACE_LOCATION_NAME,PARK_LOCATION,PARK_LOCATION_NAME,BILLING_CODE,MAINTENANCE CLASSIFICATION CODE,TECH_SPEC,TECH_SPEC_DESC
395035,"parks, forestry & recreation",2014.0,jacobsen,LF550,GMRDWTDZZZ,GM-MOWER-REEL 31-40HP 2X2 10Y DIESEL,10.0,395JACODI14A,36 HP 2WD RIDE-ON REEL TYPE FAIRWAY MOWER,OFF-ROAD,DIESEL / DYED DIESEL,9.02511596270928,,EASTERN GARAGE,Active Unit,P07647,P07647,,Active Unit,,,0.0,2800.0,STANDARD,NO_PM_HR
156164,"PARKS, FORESTRY & RECREATION",2017.0,FORD,F-450,1DC5TTDZZZ,TRK-DUMP-CC CL5 4X2 10Y DIESEL,CLASS5,TRUCK-DUMP,TRUCK - DUMP,MEDIUM DUTY,DIESEL,6.59223925038052,10.0,42732.0,Active Unit,,P00430,P00430,FINCH GARAGE,004847,247 ESTHER SHINER BLVD,V6UND,B6AD---8,156FORDDI17C,"CREW CAB 4X2 WITH 9FT. DUMP BODY, FOLD DOWN SIDES"
050062,TORONTO WATER,2019.0,DODGE,RAM 1500,5HC2FTUZZZ,PU-1/2T-CC CL2 4X4 10Y UNLEAD,CLASS2,PICKU-1/2T,PICKUP - 1/2 TON,LIGHT DUTY,unleaded,4.13744472983257,10.0,43628.0,Active Unit,,TW2015,TW2015,DISCO GARAGE,002426,150 DISCO RD,V1.5UND,BYAC---8,050DODGUN19B,"Ram 1500 (DT6H98) Big Horn, Crew Cab, 4x4, 3.6L V6 with eTorque"
156176,"PARKS, FORESTRY & RECREATION",2019.0,FORD,F-450,1DC4FTDZZZ,TRK-DUMP-CC CL4 4X4 10Y DIESEL,CLASS4,TRUCK-DUMP,TRUCK - DUMP,MEDIUM DUTY,DIESEL,4.36758171613394,10.0,43544.0,Active Unit,,P00430,P00430,FINCH GARAGE,004847,247 ESTHER SHINER BLVD,V4UND,B6AD---8,156FORDDI19B,"2019 CREW CAB 4X4 WITH 9FT. DUMP BODY, FOLD DOWN SIDES"
001038,FLEET SERVICES,2009.0,HYUNDAI,ACCENT,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,CLASS1,SEDAN - PASSENGER,001HYUNUN09,LIGHT DUTY,UNLEADED,10.227397260274,8.0,41221.0,Unit SOLD,,10000174,FL7009,FINCH GARAGE,,,OYAC---8,160000.0,2 DOOR HATCHBACK,STANDARD
319173,"PARKS, FORESTRY & RECREATION",2018.0,JOHN DEERE,JD5090E,GRZJFWDZZZ,GM-TRACTOR 81-100HP 4X4 12Y DIESEL,GROUND,GM-TRACT,GROUNT-TRACTOR,OFF-ROAD,DIESEL / DYED DIESEL,4.63607486681887,12.0,43446.0,Active Unit,,P00408,P00409,FINCH GARAGE,005513,1132 LESLIE ST,STANDARD,H6AE----,319JOHNDI18,2018 JOHN DEERE JD5090E 90HP FARM TRACTOR
315092,TRANSPORTATION SERVICES,2020.0,AUTOCAR,ACMD XPERT,2RS8TEDZZZ,RASS-6CUYD CL8 4X2 8Y DIESEL,CLASS8,ROAD-ST-SWEEP,ROAD-MAIN-STREET SWEEPER,HEAVY DUTY,DIESEL,3.46621185312024,8.0,43873.0,Active Unit,,TS6030,TS6030,FINCH GARAGE,4847-1,251 ESTHER SHINER BLVD,V8UND,D6DOW2S9,315AUTODI20,2020 Autocar ACMD XPERT 4x2 Cabover Chassis with Tymco Model 600 Street Sweeper Body
396503,"PARKS, FORESTRY & RECREATION",2019.0,TORO,4010D,GMZEFTDZZZ,GM-MOWER 41-50HP 4X4 10Y DIESEL,GROUND,GROUND-MOWER,396TORODI19,OFF-ROAD,DIESEL / DYED DIESEL,3.92922555175038,10.0,43704.0,Active Unit,,P00539,P00539,EASTERN GARAGE,1561 LAKESHORE BLVD E,,NO_PM_HR,0.0,"2019 55 HP  4WD, 11' RIDE-ON ROTARY MOWER",STANDARD
156117,"PARKS, FORESTRY & RECREATION",2012.0,  DODGE ,RAM 4500,1DC4FTDPZZ,TRK-DUMP-CC CL4 4X4 10Y DIESEL PL,CLASS4,TRUCK-DUMP,TRUCK - DUMP,MEDIUM DUTY,DIESEL,10.499088565449,10.0,41306.0,Active Unit,,P00674,P00674,DISCO GARAGE,005381,441 KIPLING AVE,V4OVR,B6AD---8,156DODGDI12A2,4WD CREW CAB WITH 9FT. DUMP BODY PL
001060,TORONTO BUILDING,2015.0,TOYOTA,YARIS,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,CLASS1,SEDAN-PASS,SEDAN - PASSENGER,LIGHT DUTY,UNLEADED,8.73470500380517,8.0,41950.0,Active Unit,,BL0005,BL0005,EASTERN GARAGE,005495,1401 CASTLEFIELD AVE,V1OVR,BYAC---8,001TOYOUN15,5-DOOR HATCHBACK SUBCOMPACT SEDAN
318024,"PARKS, FORESTRY & RECREATION",2017.0,JOHN DEERE,JD3046,GRZEFWDSPZ,GM-TRACTOR 41-50HP 4X4 12Y DIESEL SPPL,GROUND,GM-TRACT,GROUNT-TRACTOR,OFF-ROAD,DIESEL / DYED DIESEL,5.66895157914764,12.0,43069.0,Active Unit,,P07649,P07649,FINCH GARAGE,006155,2481 BIRCHMOUNT RD,STANDARD,H6AE----,318JOHNDI17,2017 JOHN DEERE JD3046 46HP FARM TRACTOR
285066,TORONTO WATER,2023.0,SULLAIR,185DPQKU,ACZFZWDZZZ,APP-COMPRESSOR 51-60HP 12Y DIESEL,12.0,APPARUTUS-COMPRESSOR,285SULLDI23,OTHER,DIESEL / DYED DIESEL,0.257992675038052,,EASTERN GARAGE,  Active Unit ,CFL038-17,TW2055,,Active Unit,545 COMMISSIONERS ST,,H6AC----,0.0,2023 Sullair 185DPQKU Trailer Mounted Air Compressor,STANDARD
396481,"PARKS, FORESTRY & RECREATION",2018.0,TORO,3280D,GMZCFTDZZZ,GM-MOWER 21-30HP 4X4 10Y DIESEL,GROUND,GROUND-MOWER,396TORODI18A,OFF-ROAD,DYED DIESEL,5.16758171613394,10.0,43252.0,Active Unit,,FL7009,P00155,FINCH GARAGE,,,NO_PM_HR,0.0,2018 TORO 3280 GROUNDMASTER 72IN FRONT DECK  ROTARY MOWER,STANDARD
274039,TRANSPORTATION SERVICES,2019.0,VERMAC,548,ARZZ1WZZZZ,APP-ARROW-BOARD SINGLE AXLE 12Y,44721.0,TRAILER MOUNTED - PORTABLE CHANGEABLE MESSAGE SIGN,STANDARD,OTHER,PRODUCT N/A,1.14292418188737,EASTERN GARAGE,Active Unit,Active Unit,TS7030,,1160.0,,,,0.0,003681,NC------,0.0
206106,SOLID WASTE MANAGEMENT,2020.0,FREIGHTLNR,CASCADIA 125,1TS8NTDZZZ,TRK-TRACTOR-SC CL8 6X4 10Y DIESEL,CLASS8,TRUCK-TRACT,TRUCK - TRACTOR,HEAVY DUTY,,3.50456801750381,10.0,43859.0,Active Unit,,SW0709,SW0709,FLEET MAINTENANCE HAULAGE,005387,1 TRANSFER PL,SW-TDO,B6AD---9,206FREIDI20,2019 FRIGHTLINER TANDEM AXLE HIGH WAY TRACTOR WITH FIFTH WHEEL
322055,FLEET SERVICES,2008.0,CASE,580SM,CBZJTWDZZZ,CON-BACKHOE 81-100HP 4X2 12Y DIESEL,CONSTRUCT,CON-BACKHOE,,OFF-ROAD,DIESEL,14.5808219178082,12.0,39779.0,Unit SOLD,,TS6030,FL7009,DISCO GARAGE,,320 BERING AVE,STANDARD,H6AC----,322CASEDI08A,4WD LOADER-BACKHOE
267168,"PARKS, FORESTRY & RECREATION",2012.0,J&J,LD2,4UZL2IZZZZ,TRL-UTILITY LIGHT TANDEM AXLE 15Y,15.0,,267J&JNA12A,OTHER,,10.5018282914764,,DISCO GARAGE,Active Unit,P00674,P00674,,Active Unit,441 KIPLING AVE,,ND------,0.0,14FT. TANDEM AXLE UTILITY TRAILER WITH BEAVERTAIL,STANDARD
250031,solid waste management,2012.0,TITAN,53-5-TW-WF,4ORHITZZZZ,TRL-VTA-OPEN-145-155CUYD HEAVY 3AXW2LIFT 10Y,10.0,TRAILER-VAN/TANKER ALUMINUM,250TITANA12,  OTHER ,,11.5593625380518,,FLEET MAINTENANCE HAULAGE,Active Unit,SW0709,SW0709,,Replacement Program,35 VANLEY CRES,,SW-TRAIL,0.0,REFUSE TRAILER 5 TOTAL AXLES WITH 2 LIFT/STEER AXLES AND KEITH WALKING FLOOR,SW-TDO
250521,SOLID WASTE MANAGEMENT,2015.0,TITAN,53-4-TW-COMP,4CRHRTZZZZ,TRL-VTA-CLOSE-145-155CUYD HEAVYTRIAXWLIFT 10Y,10.0,TRAILER-VAN/TANKER ALUMINUM,2505TITANA15,OTHER,,8.68265020928463,,FLEET MAINTENANCE HAULAGE,Active Unit,SW0709,SW0709,,Replacement Program,50 INGRAM DR,,SW-TRAIL,0.0,CLOSED TOP REFUSE TRAILER 4TOTAL AXLE WITH 1LIFT & STEER AXLE AND KEITH WALKING FLOOR,SW-TDO
095132,FLEET SERVICES,2015.0,FORD,TRANSIT CONN,3MZ1TTUHZZ,VAN-MINICARGO CL1 4X2 10Y UNLEAD SH,CLASS1,VAN-PASS,VAN - PASSENGER,LIGHT DUTY,UNLEADED,8.48812966133942,10.0,42040.0,Active Unit,,MS5048,FL7009,DISCO GARAGE,005581,399 THE WEST MALL,STANDARD,BYAC---8,095FORDUN15,MINI CARGO VAN WITH ANIMAL SERVICES INTERIOR UPFIT
112277,TORONTO WATER,2011.0,FORD,E250,3TS2TTUZZZ,VAN-3/4T-CARGO-SR CL2 4X2 10Y UNLEAD,CLASS2,VAN-3/4T,VAN - 3/4 TON,LIGHT DUTY,UNLEADED,12.7292255517504,10.0,40492.0,Replacement Program,Y,TW5020,TW5020,FINCH GARAGE,005331,2126 KIPLING AVE,V1.5OVR,OYAC---8,112FORDUN11-2,THREE QUARTER TON CARGO VAN
223078,SOLID WASTE MANAGEMENT,2018.0,FREIGHTLNR,M2 106,9SY7TSDZZZ,PACK-SIDEL-16CUYD CL7 4X2 6Y DIESEL,CLASS7,TRUCK-SLOAD,TRUCK - SIDE LOADER,HEAVY DUTY,DIESEL,5.7100474695586,6.0,43054.0,REPLACEMENT PROGRAM,,SW0715,SW0715,BOOTH GARAGE,000520,433 EASTERN AVE,V8UND,B6AD---9,223FREIDI18,CONVENTIONAL CHASSIS WITH HAUL-ALL 16 CU.YD MANUAL SIDE LOAD SPLIT 45/55 PACKER BODY
112471,TORONTO WATER,2019.0,FORD,TRANSIT 250,3TS2TTUZZZ,VAN-3/4T-CARGO-SR CL2 4X2 10Y UNLEAD,CLASS2,VAN-3/4T,VAN - 3/4 TON,LIGHT DUTY,UNLEADED,3.27443103120244,10.0,43943.0,Active Unit,,TW2015,TW2015,FINCH GARAGE,004426,1026 FINCH AVE W,V1.5UND,BYAC---8,112FORDUN19B,THREE QUARTER TON CARGO VAN
045027,"PARKS, FORESTRY & RECREATION",2010.0,DODGE,RAM 1500,5HE2FTUZZZ,PU-1/2T-EC CL2 4X4 10Y UNLEAD,CLASS2,PICKU-1/2T,PICKUP - 1/2 TON,LIGHT DUTY,UNLEADED,12.8607324010654,10.0,40444.0,Replacement Program,,P00268,P00833,ELLESMERE GARAGE,,70 NASHDENE RD,V1.5OVR,BYAC---8,045DODGUN10,4WD EXT. CAB PICKUP TRUCK
095156,TORONTO HOUSING COMPANY,2018.0,FORD,TRANSIT CONN,3MZ1TEUZZZ,VAN-MINICARGO CL1 4X2 8Y UNLEAD,CLASS1,VAN-PASS,VAN - PASSENGER,LIGHT DUTY,UNLEADED,5.65525294901066,,43074.0,Active Unit,,10000174,10000174,ELLESMERE GARAGE,,,V1.5UND,BYAC---8,095FORDUN18,MINI CARGO VAN
045114,"PARKS, FORESTRY & RECREATION",2017.0,DODGE,RAM 1500,5HC2FTUZZZ,PU-1/2T-CC CL2 4X4 10Y UNLEAD,CLASS2,PICKU-1/2T,PICKUP - 1/2 TON,LIGHT DUTY,UNLEADED,6.79771870243531,10.0,42657.0,Active Unit,,P00674,P00674,DISCO GARAGE,005381,441 KIPLING AVE,V1.5UND,BYAC---8,045DODGUN17,4WD EXT. CAB PICKUP TRUCK
319123,"parks, forestry & recreation",2010.0,new hollan,BOOMER 3045,GRZEFWDSPZ,GM-TRACTOR 41-50HP 4X4 12Y DIESEL SPPL,GROUND,GM-TRACT,GROUNT-TRACTOR,OFF-ROAD,DIESEL / DYED DIESEL,12.1675817161339,12.0,40697.0,Active Unit,,P00409,P00409,FINCH GARAGE,005513,1132 LESLIE ST,STANDARD,H6AE----,319NEWHDI10-1,43HP 4WD UTILITY TRACTOR W SPPL
330205,SOLID WASTE MANAGEMENT,2023.0,MADVAC,LN50,RVZCTSDZZZ,RM-LITTER-VACUUM 21-30HP 4X2 6Y DIESEL,Inactive Unit,H6HE2S--,0.0,DIESEL / DYED DIESEL,,OFF-ROAD,,CFL008-23,Active Unit,0.0,4.0,ROAD-LIT-VAC,SW0718,,,1008 YONGE ST,,2100.0,000619
323110,toronto water,2020.0,CASE,721G,CLZQFWDZZZ,CON-ART-LOADER 141-180HP 4X4 12Y DIESEL,CONSTRUCT,CONSTRUCT-ARTICULATED LOADER,323CASEDI20,OFF-ROAD,DYED DIESEL,2.83607486681887,12.0,44103.0,Active Unit,,TW2015,TW2015,FINCH GARAGE,1026 FINCH AVE W,,H6AC----,0.0,"2020 Case 721G Wheel Loader, 174hp, 3.5 yd Hd bucket",STANDARD
001154,MUNICIPAL LICENSING & STDS,2022.0,CHEVROLET,SPARK LS,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,CLASS1,SEDAN-PASS,SEDAN - PASSENGER,  LIGHT DUTY ,,1.53196527777778,8.0,44579.0,ACTIVE UNIT,,MS1260,MS1260,EASTERN GARAGE,000520,433 EASTERN AVE,V1UND,BYAC---8,001CHEVUN22,2022 CHEVROLET SPARK LS 4 DOOR HATACHBACK
PE1068,FLEET SERVICES,1993.0,FLYGT,GENERATOR,HGZBZWDZZZ,ATT-VM-GENERATOR 11-20HP 12Y DIESEL,12.0,GEN110393,GENERATOR PUMP (FLYGT),OTHER,,29.5041095890411,,EASTERN GARAGE,Active Unit,TW4022,FL7009,,Unit SOLD,,,0.0,1400.0,STANDARD,NO_PM
236293,SOLID WASTE MANAGEMENT,2016.0,  MACK ,MRU 633,9EU8NSCZZZ,PACK-REARLCO-32CUYD CL8 6X4 6Y CNG,CLASS8,TRUCK-RLOAD,TRUCK - REAR LOADER,HEAVY DUTY,NATURAL GAS,7.22511596270928,6.0,42501.0,REPLACEMENT PROGRAM,,SW1030,SW1030,BERMONDSEY GARAGE,004869,25 OLD EGLINTON AVE,V8OVR,B6ADRLP9,236MACKNG16,CNG CAB OVER CHASSIS WITH MCNEILUS 32 CU.YD SINGLE STREAM REAR LOADING PACKER
080116,TORONTO WATER,2022.0,FORD,F550,1UE5FTUVZZ,TRK-UTLTY-EC CL5 4X4 10Y UNLEAD VALV,CLASS5,TRUCK- UTILI,TRUCK - UTILITY,MEDIUM DUTY,UNLEADED,0.148403633942161,10.0,45084.0,Active Unit,,CFL038-16,TW6050,FINCH GARAGE,004426,1026 FINCH AVE W,V4UND,B6AD---8,080FORDUN22D,2022 Ford F-550 Extended Cab w/ Utility Body and Front Valve Exerciser
112342,ENGINEERING & CONSTR. SERVICES,2013.0,FORD,E250,3TS2TTUEZZ,VAN-3/4T-CARGO-SR CL2 4X2 10Y UNLEAD TC12B,CLASS2,VAN-3/4T,VAN - 3/4 TON,LIGHT DUTY,UNLEADED,10.0579926750381,10.0,41467.0,Active Unit,,ECS640,ECS640,ELLESMERE GARAGE,005680,18 DYAS RD,V1.5OVR,BYAC---8,112FORDUN13,THREE QUARTER TON CARGO VAN
315091,TRANSPORTATION SERVICES,2020.0,AUTOCAR,ACMD XPERT,2RS8TEDZZZ,RASS-6CUYD CL8 4X2 8Y DIESEL,CLASS8,ROAD-ST-SWEEP,ROAD-MAIN-STREET SWEEPER,HEAVY DUTY,DIESEL,3.52648582572298,8.0,43851.0,active unit,,TS6020,TS6020,EASTERN GARAGE,000520,433 EASTERN AVE,V8UND,D6DOW2S9,315AUTODI20,2020 Autocar ACMD XPERT 4x2 Cabover Chassis with Tymco Model 600 Street Sweeper Body
041369,TRANSPORTATION SERVICES,2020.0,CHEVROLET,EQUINOX,7UZ1FEUZZZ,PASS-SUV CL1 4X4 8Y UNLEAD,CLASS1,SEDAN - PASSENGER,041CHEVUN20,LIGHT DUTY,UNLEADED,3.44977349695586,8.0,43879.0,Active Unit,,TS8020,TS8020,BOOTH GARAGE,433 EASTERN AVE,,BYAC---8,160000.0,2020 Chevrolet Equinox (1XX26) AWD 4dr 1LS SUV,V1.5UND
003257,TRANSPORTATION SERVICES,2020.0,CHEVROLET,MALIBU,7FZ1TEUZZZ,PASS-FS CL1 4X2 8Y UNLEAD,CLASS1,SEDAN-PASS,SEDAN - PASSENGER,LIGHT DUTY,UNLEADED,3.31552692161339,8.0,43928.0,Active Unit,,TS7060,TS7060,FINCH GARAGE,005181,55 JOHN ST,V1UND,BYAC---8,003CHEVUN20,FULL SIZE 4-DOOR SEDAN
065149,  TRANSPORTATION SERVICES ,2021.0,CHEVROLET,SILVERADO 2500,5TE2FTUPZZ,PU-3/4T-EC CL2 4X4 10Y UNLEAD PL,CLASS2,PICKU-3/4T,PICKUP - 3/4 TON,LIGHT DUTY,UNLEADED,2.38675979832572,10.0,44267.0,Active Unit,,TS6060,TS6060,ELLESMERE GARAGE,003892,1050 ELLESMERE RD,V1.5UND,B6AD---8,065CHEVUN21,"Extended Cab, 4x4, 3/4 Ton Pickup Truck with Plow"
045046,"PARKS, FORESTRY & RECREATION",2011.0,DODGE,RAM 1500,5HE2FTUZZZ,PU-1/2T-EC CL2 4X4 10Y UNLEAD,CLASS2,PICKU-1/2T,PICKUP - 1/2 TON,LIGHT DUTY,UNLEADED,11.9374447298326,10.0,40781.0,Active Unit,,P12136,P12136,FINCH GARAGE,004301,27 TORYORK DR,V1.5OVR,BYAC---8,045DODGUN11,4WD EXT. CAB PICKUP TRUCK
378294,TORONTO WATER,2017.0,CUSHMAN,HAULER PRO X,GUZATEEZZZ,GM-UTILITY-CARTS <10HP 4X2 8Y ELECT,8.0,,378CUSHEL17,  OFF-ROAD ,ELECTRIC,5.84155431887367,,EASTERN GARAGE,Active Unit,TW4015,TW4015,ZERO EMISSION - ELECTRIC VEHICLE,Active Unit,9 LESLIE ST,,NO_PM,0.0,4x2 Electric Powered Utility Vehicle w/ Powered Dump Box,STANDARD
065195,TRANSPORTATION SERVICES,2022.0,FORD,F250 4X4,5TC2FTUPZZ,PU-3/4T-CC CL2 4X4 10Y UNLEAD PL,CLASS2,PICKU-3/4T,PICKUP - 3/4 TON,LIGHT DUTY,UNLEADED,0.748403633942161,10.0,44865.0,  Active Unit ,,TS6020,TS6020,EASTERN GARAGE,10010,EASTERN GARAGE,V1.5UND,B6AD---8,065FORDUN22,"2022 Ford F-250, 4WD, SuperCab, w/ V-Plow & Aluminum Dump Insert"
206104,SOLID WASTE MANAGEMENT,2020.0,FREIGHTLNR,CASCADIA 125,1TS8NTDZZZ,TRK-TRACTOR-SC CL8 6X4 10Y DIESEL,CLASS8,TRUCK-TRACT,TRUCK - TRACTOR,HEAVY DUTY,DIESEL,3.56484199010655,10.0,43837.0,Active Unit,,SW0709,SW0709,FLEET MAINTENANCE HAULAGE,005387,1 TRANSFER PL,SW-TDO,B6AD---9,206FREIDI20,2019 FRIGHTLINER TANDEM AXLE HIGH WAY TRACTOR WITH FIFTH WHEEL
329043,"PARKS, FORESTRY & RECREATION",2016.0,HELI,CPCD25-KU11G,LFZETIDZZZ,LIFT-FORKLIFT 41-50HP 4X2 15Y DIESEL,15.0,329HELIDI16,5000 LBS DIESEL POWERED FORKLIFT,OFF-ROAD,DIESEL / DYED DIESEL,7.47443103120244,,EASTERN GARAGE,Active Unit,P00483,P00483,,Active Unit,,,0.0,3500.0,STANDARD,H6ACK---
319187,"PARKS, FORESTRY & RECREATION",2021.0,JOHN DEERE,JD5090E,GRZJFWDPZZ,GM-TRACTOR 81-100HP 4X4 12Y DIESEL PL,GROUND,GM-TRACT,GROUNT-TRACTOR,OFF-ROAD,DIESEL / DYED DIESEL,1.23881459284627,12.0,44686.0,Active Unit,,P00542,P00542,EASTERN GARAGE,,,STANDARD,H6AE----,319JOHNDI21,2021 JOHN DEERE JD5090E 90HP FARM TRACTOR
236289,solid waste management,2016.0,MACK,MRU 633,9EU8NSCZZZ,PACK-REARLCO-32CUYD CL8 6X4 6Y CNG,CLASS8,TRUCK-RLOAD,TRUCK - REAR LOADER,HEAVY DUTY,NATURAL GAS,7.23881459284627,,42496.0,Replacement Program,,SW1030,SW1030,BERMONDSEY GARAGE,004869,25 OLD EGLINTON AVE,V8OVR,B6ADRLP9,236MACKNG16,CNG CAB OVER CHASSIS WITH MCNEILUS 32 CU.YD SINGLE STREAM REAR LOADING PACKER
003321,FLEET SERVICES,2023.0,CHEVROLET,BOLT EUV,7SZ1TEEZZZ,PASS-SUBCOMP CL1 4X2 8Y ELECT,8.0,SEDAN - PASSENGER,003CHEVEL23,LIGHT DUTY,ELECTRIC,,,ELLESMERE GARAGE,Active Unit,FL5004,FL5004,ZERO EMISSION - ELECTRIC VEHICLE,Active Unit,843 EASTERN AVE,,OC-----8,160000.0,2023 CHEVROLET BOLT EUV ELECTRIC 5-DOOR HATCHBACK SEDAN,STANDARD
050043,TRANSPORTATION SERVICES,2019.0,DODGE,RAM 1500 (TRADESMAN),5HC2FTUEZZ,PU-1/2T-CC CL2 4X4 10Y UNLEAD TC12B,CLASS2,PICKU-1/2T,PICKUP - 1/2 TON,LIGHT DUTY,UNLEADED,4.26621185312024,10.0,43581.0,Active Unit,,TS6050,TS6050,FINCH GARAGE,000520,433 EASTERN AVE,V1.5UND,BYAC---8,050DODGUN19A,"Ram 1500 (DT6L98) Tradesman, Crew Cab, 4x4, 3.6L V6 with TC-12 Arrowboard"
050144,"PARKS, FORESTRY & RECREATION",2021.0,DODGE,RAM 1500,5HC2FTUZZZ,PU-1/2T-CC CL2 4X4 10Y UNLEAD,CLASS2,PICKU-1/2T,PICKUP - 1/2 TON,LIGHT DUTY,UNLEADED,2.64703377092846,10.0,44172.0,Active Unit,,P00117,P00117,FINCH GARAGE,0516-2,1 GREENHOUSE RD,V1.5UND,BYAC---8,050DODGUN21,"2021 Ram 1500 Tradesman Crew Cab 4x4 (5'7"" Box)"
501001,FLEET SERVICES,2002.0,YAMAHA,EF6300X,HGZBZWUZZZ,ATT-VM-GENERATOR 11-20HP 12Y UNLEAD,ATTACHMENT,ATTACHMENT-VEHICLE MOUNTED GEN,501YAMAUN02,OTHER,UNLEADED,20.0799104832572,12.0,37809.0,Unit Return for Disp/Sale/Rem,,FL1602,FL7009,FINCH GARAGE,1026 FINCH AVE W,,N6AG----,0.0,6300 WATT GENERATOR,STANDARD
396323,"PARKS, FORESTRY & RECREATION",2012.0,TORO,5910,GMZJFTDZZZ,GM-MOWER 81-100HP 4X4 10Y DIESEL,GROUND,GROUND-MOWER,396TORODI12,OFF-ROAD,DIESEL / DYED DIESEL,11.1621022640791,10.0,41064.0,Active Unit,,P00409,P00409,FINCH GARAGE,1132 LESLIE ST,,NO_PM_HR,0.0,"99 HP 4WD, 16' RIDE-ON ROTARY MOWER",STANDARD
223089,SOLID WASTE MANAGEMENT,2018.0,FREIGHTLNR,M2 106,9SY7TSDZZZ,PACK-SIDEL-16CUYD CL7 4X2 6Y DIESEL,CLASS7,TRUCK-SLOAD,TRUCK - SIDE LOADER,HEAVY DUTY,DIESEL,5.38128034627093,6.0,43174.0,replacement program,,SW0715,SW0715,BOOTH GARAGE,000520,433 EASTERN AVE,V8UND,B6AD---9,223FREIDI18,CONVENTIONAL CHASSIS WITH HAUL-ALL 16 CU.YD MANUAL SIDE LOAD SPLIT 45/55 PACKER BODY
319051,"PARKS, FORESTRY & RECREATION",2005.0,KUBOTA,L4630GSTC,GRZEFWDZZZ,GM-TRACTOR 41-50HP 4X4 12Y DIESEL,GROUND,GM-TRACT,GROUNT-TRACTOR,off-road,DIESEL,18.5237460996956,12.0,38377.0,Active Unit,,P00670,P00670,DISCO GARAGE,005381,441 KIPLING AVE,STANDARD,H6AE----,319KUBODI05,47HP 4WD UTILITY TRACTOR
001072,"PARKS, FORESTRY & RECREATION",2016.0,NISSAN,VERSA NOTE,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,CLASS1,SEDAN-PASS,SEDAN - PASSENGER,LIGHT DUTY,UNLEADED,6.8059378805175,8.0,42654.0,Active Unit,,P00027,P00027,EASTERN GARAGE,0520-1,50 BOOTH AVE,V1UND,BYAC---8,001NISSUN16,5-DOOR HATCHBACK SUBCOMPACT SEDAN
329006,TORONTO WATER,2001.0,HYSTER,E50XM2,LFZETIEZZZ,LIFT-FORKLIFT 41-50HP 4X2 15Y ELECT,15.0,007R-67MS/901,5000 lb. ELECTRIC FORKLIFT,OFF-ROAD,ELECTRIC,21.871691305175,,EASTERN GARAGE,Active Unit,TW4015,TW4022,ZERO EMISSION - ELECTRIC VEHICLE,Replacement Program,,,0.0,3500.0,STANDARD,HCK-----
323123,TRANSPORTATION SERVICES,2022.0,CASE,721G,CLZQFWDZZZ,CON-ART-LOADER 141-180HP 4X4 12Y DIESEL,CONSTRUCT,CON-ART-LOAD,CONSTRUCT-ARTICULATED LOADER,OFF-ROAD,DIESEL / DYED DIESEL,0.841554318873668,12.0,44831.0,Active Unit,,TS6000,TS6000,ELLESMERE GARAGE,003892,1050 ELLESMERE RD,STANDARD,H6AC----,323CASEDI22,2022 CASE 721G 180HP ARTICULATED LOADER
003231,FACILITIES MGMT & REAL ESTATE,2017.0,CHEVROLET,BOLT EV,7CZ1TEEZZZ,PASS-COMP CL1 4X2 8Y ELECT,8.0,SEDAN - PASSENGER,003CHEVEL17,LIGHT DUTY,ELECTRIC,5.85799267503805,,EASTERN GARAGE,Active Unit,FA100A,FA100A,ZERO EMISSION - ELECTRIC VEHICLE,REDEPLOYED Unit,55 JOHN ST,,OC-----8,160000.0,ELECTRIC 5-DOOR HATCHBACK SEDAN,V1UND
158081,"PARKS, FORESTRY & RECREATION",2019.0,INTERNATIO,HV SERIES,1DS8TTDZZZ,TRK-DUMP-SC CL8 4X2 10Y DIESEL,CLASS8,TRUCK-DUMP,TRUCK - DUMP,HEAVY DUTY,DIESEL,4.09908856544901,,43642.0,Active Unit,,P12017,P12017,BOOTH GARAGE,0520-1,50 BOOTH AVE,V5UND,B6AD---9,158INTERDI19,2019 INTERNATIONAL HV607 SINGLE AXLE HEATED DUMP TRUCK
095078,TORONTO WATER,2011.0,FORD,TRANSIT CONN,3MZ1TEUZZZ,VAN-MINICARGO CL1 4X2 8Y UNLEAD,CLASS1,VAN-PASS,VAN - PASSENGER,LIGHT DUTY,UNLEADED,11.5456639079148,8.0,40924.0,Replacement Program,,TW6050,TW6050,ELLESMERE GARAGE,006217,60 TIFFIELD RD,V1.5OVR,BYAC---8,095FORDUN11,MINI CARGO VAN
