UNIT_NO,DIVISION,YEAR,MAKE,MODEL,CATEGORY,CATEGORY_DESC,CATEGORY_CLASS,CATEGORY_GROUP,CATEGORY_GROUP_DESC,UNIT_TYPE,FUEL_PRODUCT,AGE,EXPECTED_LIFE(YR),IN_SERVICE_DATE,CURRENT_STATUS_DESCRIPTION,HIGH_PRIORITY,OWNING_COST_CENTER,USING_COST_CENTER,MAINTENENACE_LOCATION_NAME,PARK_LOCATION,PARK_LOCATION_NAME,BILLING_CODE,MAINTENANCE CLASSIFICATION CODE,TECH_SPEC,TECH_SPEC_DESC
CLAW12,TRANSPORTATION SERVICES,2010.0,UNKNOWN,.,HUZZZWZZZZ,ATT-CLAW-BUCKET 12Y,12.0,CLAWMISC10,LOADER LEAF CLAW ATTACHMENT,OTHER,,6.61689678462709,,EASTERN GARAGE,Active Unit,TS6020,TS6020,,Replacement Program,,,0.0,0.0,STANDARD,NO_PM3S-
041226,TORONTO WATER,2017.0,FORD,ESCAPE,7UZ1FEUZZZ,PASS-SUV CL1 4X4 8Y UNLEAD,CLASS1,SEDAN-PASS,SEDAN - PASSENGER,LIGHT DUTY,UNLEADED,6.74840363394216,8.0,42675.0,Active Unit,,TW2020,TW2020,DISCO GARAGE,5381-1,435 KIPLING AVE,V1.5UND,BYAC---8,041FORDUN17,AWD SPORT UTILITY VEHICLE
135161,"PARKS, FORESTRY & RECREATION",2016.0,FORD,E450,1BS4TTUOZZ,TRK-CUBE-SC CL4 4X2 10Y UNLEAD PLG,CLASS4,TRUCK-CUBE,TRUCK - CUBE,MEDIUM DUTY,UNLEADED,7.24429404490107,10.0,42494.0,Active Unit,,P00859,P00859,FINCH GARAGE,006063,5720 BATHURST ST,V3UND,B6AD---8,135FORDUN16A1,2016 FORD E-450 17FT CUBE VAN PLG
156155,"PARKS, FORESTRY & RECREATION",2015.0,DODGE,RAM 4500,1DC5FTDSPZ,TRK-DUMP-CC CL5 4X4 10Y DIESEL SPPL,CLASS5,TRUCK - DUMP,156DODGDI15-1,MEDIUM DUTY,DIESEL,8.57032144216134,10.0,42010.0,Unit is totaled,,P00676,P00676,DISCO GARAGE,,,00,220000.0,4WD CREW CAB WITH 9FT. DUMP BODY SPPL,STANDARD
195001,SOLID WASTE MANAGEMENT,2017.0,INTERNATIO,WORKSTA 7600,1DS8NWDZZZ,TRK-DUMP-SC CL8 6X4 12Y DIESEL,CLASS8,TRUCK-DUMP,TRUCK - DUMP,HEAVY DUTY,DIESEL,6.68538993531202,12.0,42698.0,Active Unit,,SW0709,SW0709,FLEET MAINTENANCE HAULAGE,005449,50 INGRAM DR,SW-TDO,B6AD---9,195INTEDI17,"24FT. DUMP TYPE BODY WITH KEITH WALKING FLOOR, STEERABLE LIFT AXLE"
145020,TORONTO WATER,2011.0,INTERNATIO,4300,1BS7TWDOZZ,TRK-CUBE-SC CL7 4X2 12Y DIESEL PLG,CLASS7,TRUCK-CUBE,TRUCK - CUBE,HEAVY DUTY,DIESEL,11.7319652777778,12.0,,Replacement Program,,TW7072,TW7072,ELLESMERE GARAGE,005671,21 FISHLEIGH DR,V3UND,B6AD---9,145INTERDI11,LOW PROFILE 4300 WITH VAN BODY
112329,FLEET SERVICES,2011.0,MERCEDES,SPRINTER2500,3TH2TTDHZZ,VAN-3/4T-CARGO-HR CL2 4X2 10Y DIESEL SH,CLASS2,VAN-3/4T,VAN - 3/4 TON,LIGHT DUTY,DIESEL,11.5456639079148,10.0,40924.0,Replacement Program,,TW6050,FL7009,FINCH GARAGE,004426,1026 FINCH AVE W,STANDARD,B6AD---8,112MERCDI11,MERCEDES-BENZ 2500 SPRINTER
267265,TORONTO WATER,2022.0,J&J,LD-2,4UZL2IZZZZ,TRL-UTILITY LIGHT TANDEM AXLE 15Y,15.0,267J&JNA22,16FT. TANDEM AXLE TRAILER,OTHER,PRODUCT N/A,0.7100474695586,,EASTERN GARAGE,active unit,TW2015,TW2015,,Active Unit,,,0.0,0.0,STANDARD,ND------
004011,FLEET SERVICES,2005.0,FORD,FOCUS SE,7WZ1TEUZZZ,PASS-WAGON CL1 4X2 8Y UNLEAD,CLASS1,SEDAN - PASSENGER,004FORDUN05,LIGHT DUTY,UNLEADED,18.4799104832572,8.0,38393.0,Unit Return for Disp/Sale/Rem,,TP0260,FL7009,EASTERN GARAGE,,,OYAC---8,160000.0,5-DOOR WAGON SEDAN,STANDARD
267005,FLEET SERVICES,2001.0,JC TRAILER,16T DOW,4UZL2IZZZZ,TRL-UTILITY LIGHT TANDEM AXLE 15Y,15.0,,008-60MS/0201,OTHER,,22.1835616438356,,EASTERN GARAGE,Active Unit,TW6015,FL7009,,Unit SOLD,545 COMMISSIONERS ST,,ND------,0.0,16T TAG-ALONG BEAVERTAIL FLOAT TYPE TRAILER,STANDARD
